System Name | Folder Name | File Extension | Cores |
SuperGrafx | SGFX | sgx | mednafen_supergrafx |
TurboGrafx CD | PCECD | *(none)* | mednafen_pce_fast |
TurboGrafx-16 | PCE | pce | mednafen_pce_fast |
Famicom Disk Syst. | FDS | fds | fceumm |
Game Tank | GAMETANK | gtr| libgametank |
Game & Watch | GW | mgw | gw |
Game Boy | GB, TGB_Dual | gb | gambatte, tgbdual, gearboy, mgba, vbam, vba_next |
Game Boy Color | GBC, SGB | gbc | gambatte, tgbdual, gearboy, mgba, vbam, vba_next |
Game Boy Advance | GBA | gba | gpsp, mgba, vbam, vba_next |
Super Game Boy | SGB | *(none)* | mgba, tgbdual, gearboy, bsnes |
NES | FC, NES | nes, unif, unf | fceumm, nestopia |
Pokémon Mini | POKE, PKM | min | pokemini |
Satellaview | SATELLAVIEW | st | snes9x |
SNES | SFC, SNES | sfc, smc, swc, fig | mednafen_supafaust, snes9x, snes9x2010, snes9x2005, snes9x2005_plus, snes9x2002, chimerasnes |
Virtual Boy | VB | vb, vboy | mednafen_vb |
Phillips Videopac+ | VIDEOPAC | *(none)* | o2em |
PICO-8 | PICO | p8, png | fake08, retro8 |
Ports Collection | PORTS, SH, NATIVE | port | native |
ScummVM | SCUMMVM | scummvm, target | scummvm |
Genesis 32X | THIRTYTWOX | 32x | picodrive |
Sega CD | SEGACD | *(none)* | picodrive, genesis_plus_gx |
Game Gear | GG | gg | picodrive, genesis_plus_gx |
Genesis | MD | gen, smd, md | picodrive, genesis_plus_gx |
Master System | MS | sms | picodrive, genesis_plus_gx |
SG-1000 | SEGASGONE | sg | gearsystem |
Sega VMU | VMU | *(none)* | vemulator |
ZX Spectrum | ZXS | tzx, z80, rzx, scl, trd | fuse |
Neo Geo | NEOGEO | *(none)* | fbalpha2012_neogeo |
Neo Geo CD | NEOCD | *(none)* | neocd |
Neo Geo Pocket Color | NGP, NGC | ngp, ngc | mednafen_ngp |
PlayStation | PSX, PS, PS1 | mdf, pbp, toc, cbn | pcsx_rearmed |
TIC-80 | TIC | tic, fd, sap, k7, m7 | tic80 |
Watara Supervision | SUPERVISION | sv | potator |
PC-8000 | PC8000 | *(none)* | quasi88 |
PC-98 | PC98, PCNINETYEIGHT, NINETYEIGHT | *(none)* | np2kai, nekop2 |
PC-FX | PCFX | *(none)* | mednafen_pcfx |
Cave Story | NXENGINE | Doukutsu.exe | nxengine |
SH Launcher | *(none)* | sh | sh_launcher |
Sinclair ZX81 | ZX81, ZXEIGHTYONE | *(none)* | zx81 |
ChaiLove | CHAILOVE | *(none)* | chailove |
Daphne | DAPHNE | daphne | daphne |
EasyRPG | EASYRPG | *(none)* | easyrpg |
Wolfenstein 3D | ECWOLF | *(none)* | ecwolf |
Game Music Emu | GME | *(none)* | gme |
LÖVE | LOVE | love | lutro |
Palm OS | PALMOS | prc, pqa | mu |
Texas Instruments TI-83 | TI83 | *(none)* | numero |
3DO | PANASONIC, 3DO | *(none)* | opera |
Doom | DOOM, PRBOOM | wad, iwad, pwad | prboom |
Sharp X1 | SHARPX1 | *(none)* | x1 |
Sharp X68000 | X68000 | *(none)* | px68k |
Flashback | FLASHBACK | *(none)* | reminiscence |
Thomson | THOMSON | *(none)* | theodore |
Quake | QUAKE | *(none)* | tyrquake |
MicroW8 | MICROW8 | *(none)* | uw8 |
Uzebox | UZEBOX | *(none)* | uzem |
GCE Vectrex | VECRTEX | *(none)* | vecx |
Rick Dangerous | XRICK | *(none)* | xrick |
Nintendo DS | NDS, DS | nds | drastic |
Movies | MEDIA, Movies | 3g2, 3gp, aac, avi, flv, m4a, mkv, mj2, mov, mp3, mp4, mpeg, ogg, oss, wav, webm | *(none)* |
